year,level_1,value
2010,Premium Thai Rice (Per 5 Kilogram),12.43
2010,Ordinary White Bread (Per 400 Gram),1.4
2010,Vitamin Enriched Bread (Per 400 Gram),1.63
2010,Wholemeal Bread (Per 400 Gram),na
2010,Instant Noodles (Per 5 Packets),2.16
2010,"Lean Pork, Chilled (Per Kilogram)",12.66
2010,"Streaky Pork, Chilled (Per Kilogram)",13.62
2010,"Pork Rib Bones, Chilled (Per Kilogram)",15.84
2010,"Beef, Chilled (Per Kilogram)",na
2010,"Mutton, Chilled (Per Kilogram)",15.12
2010,"Whole Chicken, Chilled (Per Kilogram)",5.54
2010,"Chicken Wing, Chilled (Per Kilogram)",na
2010,"Duck, Chilled (Per Kilogram)",6.59
2010,"Lean Pork, Frozen (Per 500 Gram)",na
2010,"Pork Rib Bones, Frozen (Per 500 Gram)",na
2010,Cod Fish (Per Kilogram),39.79
2010,Gold Banded Scad (Kuning) (Per Kilogram),5.71
2010,Flowery Grouper (Per Kilogram),13.09
2010,White Pomfret (Per Kilogram),21.85
2010,Salmon (Per Kilogram),25.1
2010,Sea Bass (Per Kilogram),10.67
2010,Sea Bream (Ang Ko Li) (Per Kilogram),7.22
2010,Golden Snapper (Per Kilogram),15.43
2010,Spanish Mackerel (Batang) (Per Kilogram),10.15
2010,Threadfin (Kurau) (Per Kilogram),42.77
2010,Small Prawns (Per Kilogram),10.02
2010,Medium Prawns (Per Kilogram),15.98
2010,Squids (Per Kilogram),9.81
2010,Fresh Milk (Per Litre),2.76
2010,Infant Milk Powder (Per 100 Gram),3.94
2010,Cheese (Per 12 Slices),4.76
2010,Hen Eggs (Per 10),1.85
2010,Cooking Oil (Per 2 Kilogram),5.52
2010,Bananas (Per Kilogram),1.51
2010,Papaya (Per Kilogram),1.55
2010,Watermelon (Per Kilogram),1.16
2010,Grapes (Per Kilogram),7.68
2010,Orange (Each),0.34
2010,Apple (Each),0.37
2010,Pear (Each),0.88
2010,Broccoli (Per Kilogram),6.83
2010,Cabbage (Per Kilogram),1.73
2010,Chinese Kale (Kailan) (Per Kilogram),4.02
2010,Small Mustard (Chye Sim) (Per Kilogram),2.81
2010,Spinach (Bayam) (Per Kilogram),2.64
2010,Tomatoes (Per Kilogram),2.03
2010,Potatoes (Per Kilogram),1.59
2010,Carrots (Per Kilogram),1.9
2010,White Sugar (Per 2 Kilogram),3.16
2010,Instant Coffee (Per 200 Gram),9.33
2010,Aerated Soft Drinks (Per 4 Cans),na
2010,Non-aerated Soft Drinks (Per 6 Packets),2.32
2010,Beer (Per 6 Cans),na
2010,Cigarettes (Per Pack),10.66
2010,Coffee/tea Without Milk (Per Cup),na
2010,Coffee/tea With Milk (Per Cup),na
2010,Fishball Noodle (Per Bowl),na
2010,Mee Rebus (Per Bowl),na
2010,Chicken Rice (Per Plate),na
2010,Chicken Nasi Briyani (Per Plate),na
2010,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),na
2010,Roti Prata (Plain) (Per Piece),na
2010,Fried Carrot Cake (Per Plate),na
2010,Ice Kachang (Per Bowl),na
2010,Diesel (Per Litre),1.22
2010,"Petrol, 98 Octane (Per Litre)",1.84
2010,"Petrol, 95 Octane (Per Litre)",1.75
2010,"Petrol, 92 Octane (Per Litre)",1.69
2010,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.15
2011,Premium Thai Rice (Per 5 Kilogram),12.45
2011,Ordinary White Bread (Per 400 Gram),1.45
2011,Vitamin Enriched Bread (Per 400 Gram),1.6
2011,Wholemeal Bread (Per 400 Gram),na
2011,Instant Noodles (Per 5 Packets),2.23
2011,"Lean Pork, Chilled (Per Kilogram)",12.75
2011,"Streaky Pork, Chilled (Per Kilogram)",13.91
2011,"Pork Rib Bones, Chilled (Per Kilogram)",16.13
2011,"Beef, Chilled (Per Kilogram)",na
2011,"Mutton, Chilled (Per Kilogram)",17.6
2011,"Whole Chicken, Chilled (Per Kilogram)",5.82
2011,"Chicken Wing, Chilled (Per Kilogram)",na
2011,"Duck, Chilled (Per Kilogram)",6.78
2011,"Lean Pork, Frozen (Per 500 Gram)",na
2011,"Pork Rib Bones, Frozen (Per 500 Gram)",na
2011,Cod Fish (Per Kilogram),46.3
